ID,DOT,Question,Answer1,Answer2,Answer3,Answer4,CorrectAnswer,Category,Subcategory,Explanation,MustInclude,Difficulty,Language,Region,Product,PresenterContent,ContentSlide,JeopardyBoard,JeopardyQuestion1,JeopardyQuestion2,JeopardyQuestion3,JeopardyQuestion4,JeopardyCorrect,Reserved8,Reserved9,Reserved10,Reserved11,Reserved12,Reserved13,Reserved14,Reserved15
11,3-501.15,What is the best method for cooling large batches of soup?,Leave it on the counter until it stops steaming,Use an ice bath and stir frequently,Place the covered pot directly in the walk-in cooler,Divide into smaller portions and refrigerate uncovered,2,Time & Temperature,Cooling,"An ice bath combined with stirring rapidly removes heat from all parts of the soup, helping it cool through the danger zone quickly.",0,2,English,US,SafePrep,D,0,1,What is the best method for cooling large batches of soup?,What is the best method for thawing frozen meat?,What is the best method for reheating soup?,What is the best method for storing leftover soup?,1,,,,,,,,
12,3-501.16,What is the maximum time hot TCS food can be held below 135°F before discarding?,8 hours,6 hours,2 hours,4 hours,4,Time & Temperature,Hot Holding,Hot TCS food that falls below 135°F enters the danger zone. It must be discarded after 4 cumulative hours in the danger zone.,0,2,English,US,SafePrep,D,0,1,What is the maximum time hot TCS food can be held below 135°F before discarding?,How long can cold food be held above 41°F?,How long can food be in the danger zone before discarding?,How long can refrigerated food be held at 41°F?,1,,,,,,,,
13,3-501.16,What should you do if hot-held food drops to 120°F?,Serve it immediately before it cools further,Reheat it to 165°F for 15 seconds before returning it to holding,Stir it and continue holding at the current temperature,Add hot water to the pan to raise the temperature,2,Time & Temperature,Hot Holding,Food that has dropped to 120°F must be reheated to 165°F for 15 seconds before returning to hot holding. Adding hot water or stirring is not sufficient.,0,2,English,US,SafePrep,D,0,1,What should you do if hot-held food drops below 135°F?,What should you do if cold food rises above 41°F?,What should you do if reheated food doesn't reach 165°F?,What should you do if a delivery arrives at the wrong temperature?,1,,,,,,,,
14,3-401.11,What is the minimum internal cooking temperature for stuffed meat?,165°F for 15 seconds,155°F for 15 seconds,145°F for 15 seconds,150°F for 15 seconds,1,Time & Temperature,Cooking,Stuffed meat requires 165°F because the stuffing can harbor pathogens from the raw meat surrounding it and must reach the same temperature as poultry.,0,3,English,US,SafePrep,D,0,1,What is the minimum internal cooking temperature for stuffed pasta?,What is the minimum temperature for plain pasta?,What is the minimum temperature for vegetables?,What is the minimum temperature for grains?,1,,,,,,,,
15,3-401.11,What is the minimum internal cooking temperature for injected meats?,150°F for 15 seconds,155°F for 15 seconds,145°F for 15 seconds,165°F for 15 seconds,2,Time & Temperature,Cooking,"Injected meats require 155°F because the injection process drives surface pathogens deep into the interior of the meat, just as grinding does.",0,3,English,US,SafePrep,D,0,1,What is the minimum internal cooking temperature for pork?,What is the minimum temperature for poultry?,What is the minimum temperature for ground pork?,What is the minimum temperature for ham?,1,,,,,,,,
16,3-401.11,What is the minimum internal cooking temperature for eggs cooked and served immediately?,165°F for 15 seconds,155°F for 15 seconds,135°F for 15 seconds,145°F for 15 seconds,4,Time & Temperature,Cooking,"Eggs cooked and served immediately must reach 145°F for 15 seconds, which destroys Salmonella while allowing for a slightly runny yolk if desired.",0,3,English,US,SafePrep,D,0,1,What is the minimum internal cooking temperature for whole beef steaks?,What is the minimum temperature for ground beef?,What is the minimum temperature for poultry?,What is the minimum temperature for stuffed beef?,1,,,,,,,,
17,3-401.11,What is the minimum internal cooking temperature for eggs held for service?,155°F for 15 seconds,165°F for 15 seconds,145°F for 15 seconds,135°F for 15 seconds,1,Time & Temperature,Cooking,Eggs held for service require 155°F because they will sit in holding equipment rather than being served immediately after cooking.,0,3,English,US,SafePrep,D,0,1,What is the minimum internal cooking temperature for shell eggs cooked to order?,What is the minimum temperature for eggs that will be held?,What is the minimum temperature for poultry?,What is the minimum temperature for stuffed foods?,1,,,,,,,,
18,3-401.11,What is the minimum internal cooking temperature for whole cuts of beef?,165°F for 15 seconds,155°F for 15 seconds,145°F for 15 seconds,135°F for 15 seconds,3,Time & Temperature,Cooking,"Whole cuts of beef must reach 145°F for 15 seconds. Because pathogens are mostly on the surface and the interior remains intact, this temperature is sufficient.",0,3,English,US,SafePrep,D,0,1,What is the minimum internal cooking temperature for shell eggs that will be hot-held?,What is the minimum temperature for eggs cooked to order?,What is the minimum temperature for poultry?,What is the minimum temperature for fish?,1,,,,,,,,
19,3-401.11,What is the minimum internal cooking temperature for beef roasts?,145°F held for 4 minutes,155°F for 15 seconds,165°F for 15 seconds,135°F for 15 seconds,1,Time & Temperature,Cooking,Roasts may be cooked to 145°F but must be held at that temperature for 4 minutes to ensure heat penetrates the dense interior and destroys pathogens.,0,3,English,US,SafePrep,D,0,1,What is the alternate cooking standard for whole beef roasts?,What is the cooking temperature for ground beef?,What is the cooking temperature for poultry?,What is the cooking temperature for steaks?,1,,,,,,,,
20,3-401.11,What is the minimum internal cooking temperature for commercially raised game animals?,135°F for 15 seconds,165°F for 15 seconds,155°F for 15 seconds,145°F for 15 seconds,3,Time & Temperature,Cooking,"Commercially raised game animals require 155°F for 15 seconds due to potential pathogen contamination during processing, similar to ground meat.",0,3,English,US,SafePrep,D,0,1,What must be done when checking temperatures during cooking?,What must be done when receiving deliveries?,What must be done when cooling food?,What must be done before serving?,1,,,,,,,,
21,3-401.11,What is the minimum internal cooking temperature for fruits and vegetables cooked for hot holding?,135°F,165°F,155°F,145°F,1,Time & Temperature,Cooking,"Fruits and vegetables cooked for hot holding must reach 135°F, which destroys pathogens that can grow on produce while preserving food quality.",0,2,English,US,SafePrep,D,0,1,How often should temperatures of TCS food be monitored during hot holding?,How often during cold holding?,How often during cooling?,How often during receiving?,1,,,,,,,,
22,3-501.14,What is the two-stage cooling requirement for TCS food?,"135°F to 70°F within 4 hours, then to 41°F within 2 hours","135°F to 70°F within 3 hours, then to 41°F within 3 more hours","135°F to 70°F within 2 hours, then to 41°F within 4 more hours",135°F to 41°F within 6 hours total,3,Time & Temperature,Cooling,"The two-stage cooling requirement is 135°F to 70°F within 2 hours, then 70°F to 41°F within the next 4 hours, for a total cooling time of 6 hours.",0,3,English,US,SafePrep,D,0,1,Which thermometer is most appropriate for checking the temperature of a thin hamburger patty?,Which is best for hot oil?,Which is best for a walk-in cooler?,Which is best for a large roast?,1,,,,,,,,
23,3-501.14,What should you do if food has not cooled from 135°F to 70°F within 2 hours?,Move it to the freezer to speed cooling,Transfer it to a shallower pan and continue cooling,Continue cooling and check again in 30 minutes,Reheat it to 165°F and restart the cooling process,4,Time & Temperature,Cooling,"If the first cooling stage fails, the food must be reheated to 165°F and the cooling process restarted. Continuing to cool unsafe food is not acceptable.",0,2,English,US,SafePrep,D,0,1,How should a thermometer be calibrated?,How should a thermometer be cleaned?,How should a thermometer be stored?,How should a thermometer be replaced?,1,,,,,,,,
24,3-501.15,What is the best container type for cooling hot food quickly?,A deep covered stockpot,A shallow pan with a wide surface area,A sealed plastic container,A standard hotel pan with a lid,2,Time & Temperature,Cooling,"Shallow pans have a large surface-area-to-volume ratio, which allows heat to escape more quickly and helps food cool through the danger zone faster.",0,2,English,US,SafePrep,D,0,1,What is the proper way to thaw frozen TCS food?,What is the proper way to cool TCS food?,What is the proper way to reheat TCS food?,What is the proper way to receive TCS food?,1,,,,,,,,
25,3-501.15,What is the correct method for cooling food in shallow pans?,Place them covered on the top shelf,Stack them to save cooler space,Place them uncovered in the cooler to allow heat to escape,Wrap tightly with plastic to prevent contamination,3,Time & Temperature,Cooling,Shallow pans placed uncovered in the cooler allow heat to escape from a large surface area and permit cold air to circulate around the food.,0,2,English,US,SafePrep,D,0,1,What is the maximum water temperature for thawing food under running water?,What is the minimum water temperature for handwashing?,What is the temperature for sanitizing rinse?,What is the temperature for warewashing rinse?,1,,,,,,,,
26,3-501.14,What is the best method for cooling a large pot of chili quickly?,Add cold water directly to the pot to lower the temperature,Leave it uncovered at room temperature until it stops steaming,Use an ice paddle and place the pot in an ice bath,Divide into smaller covered containers and refrigerate,3,Time & Temperature,Cooling,"An ice paddle stirred through the chili, combined with an ice bath around the container, rapidly pulls heat from the center and exterior simultaneously.",0,3,English,US,SafePrep,D,0,1,What must be done immediately after thawing food in a microwave?,What must be done after thawing in the refrigerator?,What must be done after thawing under running water?,What must be done after thawing as part of cooking?,1,,,,,,,,
27,3-501.16,How many cumulative hours can cold TCS food remain above 41°F before it must be discarded?,6 hours,8 hours,2 hours,4 hours,4,Time & Temperature,Cold Holding,Cold TCS food that rises above 41°F enters the temperature danger zone and must be discarded after a cumulative total of 4 hours in that range.,0,2,English,US,SafePrep,D,0,1,At what temperature must cold TCS food be held?,At what temperature must hot food be held?,At what temperature must frozen food be held?,At what temperature must reheated food reach?,1,,,,,,,,
28,3-501.16,Cold-held food is found at 50°F. What should you do?,Discard it unless you can confirm it has been above 41°F for less than 4 hours,Transfer it to a colder unit immediately,Serve it immediately before it warms further,Add ice to bring the temperature down and continue holding,1,Time & Temperature,Cold Holding,"Cold food at 50°F has been in the danger zone. Unless you can confirm it has been there less than 4 hours total, you must discard it.",0,2,English,US,SafePrep,D,0,1,What is the maximum time TCS food can be in the temperature danger zone before discarding?,How long can food be hot-held?,How long can food be cold-held?,How long can food be reheated?,1,,,,,,,,
29,3-501.19,What must be done when holding cold food without temperature control?,Keep it covered at all times to slow warming,Label it with the time it must be discarded,Stir it every hour to distribute the temperature,Add ice every 2 hours to maintain safety,2,Time & Temperature,Time as Control,"When using time as a control, cold food must be labeled with the time it must be discarded so staff can track the 6-hour maximum and prevent serving unsafe food.",0,2,English,US,SafePrep,D,0,1,What must reheated food reach within 2 hours?,What must hot-held food reach?,What must cold-held food stay below?,What must frozen food stay below?,1,,,,,,,,
30,3-501.16,"When using time as a public health control for hot food, what is the maximum allowable holding time?",8 hours,4 hours,6 hours,2 hours,2,Time & Temperature,Time as Control,"When using time as a public health control for hot food, the maximum allowable time is 4 hours, after which the food must be discarded.",0,2,English,US,SafePrep,D,0,1,What equipment must never be used to reheat food?,What equipment is best for cooling?,What equipment is best for thawing?,What equipment is best for hot holding?,1,,,,,,,,
31,3-501.16,Hot-held food has been below 135°F for more than 4 cumulative hours. What should you do?,Serve it immediately to clear the batch,Add hot water to bring the temperature back up,Reheat it to 165°F and return it to the steam table,Discard it,4,Time & Temperature,Hot Holding,Food that has been below 135°F for more than 4 cumulative hours has exceeded the safe time limit in the danger zone and must be discarded.,0,2,English,US,SafePrep,D,0,1,What is the proper procedure for cooling a large pot of chili?,What is the proper procedure for reheating chili?,What is the proper procedure for storing chili?,What is the proper procedure for hot-holding chili?,1,,,,,,,,
32,3-501.17,What is the correct receiving temperature for cold TCS food?,32°F or lower,41°F or lower,50°F or lower,45°F or lower,2,Time & Temperature,Date Marking,Cold TCS food must be received at 41°F or lower to ensure it has been kept out of the temperature danger zone during transport.,0,2,English,US,SafePrep,D,0,1,How should TCS food be transported off-site?,How should TCS food be received?,How should TCS food be stored?,How should TCS food be prepared?,1,,,,,,,,
33,3-302.11,Where should raw poultry be stored in a walk-in cooler?,On the lowest shelf below all other foods,Next to raw beef on the same shelf,Above raw seafood,On the middle shelf away from produce,1,Cross-Contamination,Storage Order,Raw poultry is stored on the lowest shelf because it has the highest required cooking temperature and poses the greatest cross-contamination risk if it drips.,0,2,English,US,SafePrep,D,0,1,What information must be on the label of a TCS food that has been prepared in-house?,What must be on a chemical label?,What must be on a delivery invoice?,What must be on a shellfish tag?,1,,,,,,,,
34,3-302.11,What is the correct refrigerator storage order from top to bottom?,Whole cuts > Seafood > Ground meat > Ready-to-eat > Poultry,Ready-to-eat > Seafood > Whole cuts > Ground meat > Poultry,Ground meat > Poultry > Whole cuts > Seafood > Ready-to-eat,Seafood > Whole cuts > Ground meat > Poultry > Ready-to-eat,2,Cross-Contamination,Storage Order,Food is stored by minimum required cooking temperature with ready-to-eat on top and poultry on the bottom to prevent higher-risk items from dripping onto lower-risk ones.,0,3,English,US,SafePrep,D,0,1,What is the proper position of a thermometer probe when checking a poultry breast?,Where to probe a whole roast?,Where to probe a thin hamburger?,Where to probe stuffed food?,1,,,,,,,,
35,3-302.11,Which cutting board should be used for raw chicken?,A board designated for poultry only,A board used only for raw proteins,Any clean and sanitized board,A board that has not been used that shift,1,Cross-Contamination,Equipment Use,A dedicated poultry cutting board prevents raw chicken pathogens from contaminating produce or ready-to-eat foods prepared on the same surface.,0,3,English,US,SafePrep,D,0,1,What is the proper procedure for checking the temperature of a hot-held food?,How to check a cold-held food?,How to check a frozen food?,How to check a reheated food?,1,,,,,,,,
36,3-304.11,Which of the following is an example of cross-contamination?,Rinsing gloves between tasks instead of changing them,Using color-coded cutting boards for different foods,Storing raw meat below ready-to-eat foods,Using the same tongs for raw and cooked chicken,4,Cross-Contamination,General,"Using the same tongs for raw and cooked chicken transfers pathogens directly to food that will not be cooked again, which is cross-contamination.",0,2,English,US,SafePrep,D,0,1,Where should raw poultry be stored in a walk-in cooler?,Where should RTE food be stored?,Where should produce be stored?,Where should dairy be stored?,1,,,,,,,,
37,3-304.11,Which of the following is an example of preventing cross-contamination?,Using the same gloves for all tasks to save time,Storing raw meat on the shelf above ready-to-eat salads,Using one cutting board for all foods and sanitizing between uses,Using separate equipment for raw and ready-to-eat foods,4,Cross-Contamination,General,Dedicated equipment for raw versus ready-to-eat foods ensures that pathogens from raw products never come into contact with foods served without further cooking.,0,2,English,US,SafePrep,D,0,1,What is the correct refrigerator storage order from top to bottom?,What is the correct freezer order?,What is the correct dry storage order?,What is the correct hot-holding order?,1,,,,,,,,
38,3-304.14,How often must sanitizer buckets be tested during the day?,Only when the solution looks cloudy or discolored,Once during opening and once during closing,Regularly throughout the shift to maintain proper concentration,Only at the start of each shift,3,Cross-Contamination,Sanitizer Use,Sanitizer solution degrades over time and with use. Regular testing with test strips ensures it maintains the concentration needed to effectively kill pathogens.,0,2,English,US,SafePrep,D,0,1,Which cutting board should be used for raw chicken?,Which board for raw beef?,Which board for produce?,Which board for cooked food?,1,,,,,,,,
39,3-304.14,How often must wiping cloths stored in sanitizer solution be replaced?,Every 2 hours on a fixed schedule,Every hour regardless of condition,At the start of each new task,When the solution becomes dirty or loses concentration,4,Cross-Contamination,Sanitizer Use,Sanitizer solution loses effectiveness when it becomes dirty or diluted. Cloths must be moved to fresh solution to maintain proper sanitizing strength.,0,2,English,US,SafePrep,D,0,1,What is the primary purpose of color-coded cutting boards?,What is the purpose of date-marking?,What is the purpose of FIFO?,What is the purpose of HACCP?,1,,,,,,,,
40,3-304.14,What should be done with a wiping cloth used to clean up a raw meat spill?,Continue using it since it has already been soiled,Store it in the sanitizer bucket and use it on other surfaces,Rinse it thoroughly and return it to the sanitizer bucket,Launder it or discard it  -  do not reuse on other surfaces,4,Cross-Contamination,Sanitizer Use,Cloths used on raw meat spills are heavily contaminated and must be laundered or discarded. Rinsing or storing in sanitizer does not make them safe for other surfaces.,0,2,English,US,SafePrep,D,0,1,What is the safest practice when preparing a raw chicken and a salad in the same kitchen?,What is the safest receiving practice?,What is the safest storage practice?,What is the safest serving practice?,1,,,,,,,,
41,3-302.12,What is the correct way to handle allergens during food preparation?,Wash hands between allergen and non-allergen tasks,Use separate equipment dedicated to allergen-free items,Use gloves when handling allergen ingredients,Prepare allergen-free items on a freshly sanitized surface,2,Cross-Contamination,Allergens,Allergen cross-contact can occur even with trace amounts. Separate equipment prevents allergen proteins from reaching meals intended to be allergen-free.,0,2,English,US,SafePrep,D,0,1,What should be done with a cutting board used for raw meat before using it for vegetables?,What should be done after each use?,What should be done at the end of shift?,What should be done before storing?,1,,,,,,,,
42,3-302.11,When should allergen-free meals be prepared?,"First, before any allergen-containing foods are handled, or separately with dedicated equipment",During slower periods when the kitchen is less busy,"Last, so dedicated equipment can be cleaned afterward",After all other orders are complete,1,Cross-Contamination,Allergens,"Allergen-free meals must be prepared first, before allergen-containing foods are handled, or separately using dedicated equipment to prevent cross-contact.",0,2,English,US,SafePrep,D,0,1,How should raw seafood be stored relative to raw beef in a refrigerator?,How relative to poultry?,How relative to RTE foods?,How relative to produce?,1,,,,,,,,
43,3-602.11,What must be included on a packaged food item that contains allergens?,A declaration listing the allergens it contains,The name of the employee who prepared it,The storage instructions for the item,The date and time of preparation,1,Cross-Contamination,Allergens,An allergen declaration on packaged food is required so customers with food allergies can make informed and safe choices.,1,2,English,US,SafePrep,C,1,0,,,,,,,,,,,,,
44,3-302.11,Which of the following foods is one of the nine major FDA-recognized allergens?,Corn,Tomatoes,Garlic,Peanuts,4,Cross-Contamination,Allergens,Peanuts are one of the nine major food allergens recognized by the FDA and among the most common causes of severe anaphylactic reactions.,0,2,English,US,SafePrep,D,0,1,What should be done with a tasting spoon after one use?,What with a cutting board?,What with a thermometer?,What with a serving utensil?,1,,,,,,,,
45,3-302.11,Which food is most likely to cause a severe allergic reaction?,Tree nuts,White rice,Green beans,Carrots,1,Cross-Contamination,Allergens,Tree nuts are one of the nine major food allergens and among the most common causes of life-threatening allergic reactions.,0,2,English,US,SafePrep,D,0,1,What is the proper procedure for handling raw meat juices that spill on a prep surface?,What for produce spills?,What for chemical spills?,What for grease spills?,1,,,,,,,,
46,3-302.11,How should allergen-containing ingredients be stored?,Separately from other ingredients and clearly labeled,On the lowest shelf to prevent dripping,Together with other ingredients to save space,Next to raw proteins for easy identification,1,Cross-Contamination,Allergens,Allergen ingredients stored separately and clearly labeled prevent accidental use in allergen-free dishes and allow staff to quickly identify them.,0,2,English,US,SafePrep,D,0,1,When can the same gloves be worn between tasks?,When must gloves be changed?,When are gloves not required?,When must gloves be doubled?,1,,,,,,,,
47,3-304.11,Which of the following best prevents allergen cross-contact?,Using separate utensils dedicated to allergen-free meal preparation,Preparing allergen-containing dishes first,Washing utensils between allergen and non-allergen tasks,Storing allergens with other ingredients on the same shelf,1,Cross-Contamination,Allergens,Using separate utensils for allergen-free meals prevents allergen proteins from transferring to food that a customer believes is safe for their allergy.,0,1,English,US,SafePrep,D,0,1,What is the safest way to dispense ice for customer beverages?,Safest way to serve?,Safest way to store?,Safest way to receive ice?,1,,,,,,,,
48,3-304.15,When must single-use gloves be changed?,Only when visibly torn or soiled,"After handling raw meat, touching non-food surfaces, or after extended wear",After every 30 minutes of continuous use,After completing each individual task,2,Cross-Contamination,Glove Use,"Gloves must be changed after handling raw meat, after touching non-food-contact surfaces, and after extended wear to prevent transferring contamination.",0,2,English,US,SafePrep,D,0,1,How should a deli slicer be handled between slicing raw and ready-to-eat foods?,Between two RTE foods?,Between two raw foods?,Between shifts?,1,,,,,,,,
49,3-304.15,When must food handlers change their gloves?,Only when moving from raw proteins to produce,Only after 4 hours of continuous use,When switching between tasks involving different foods or surfaces,Only when the gloves become visibly soiled,3,Cross-Contamination,Glove Use,"Gloves must be changed when switching tasks, after extended use, and after touching non-food-contact surfaces. All three situations require fresh gloves.",0,2,English,US,SafePrep,D,0,1,What should be done with ready-to-eat food touched by bare hands?,Touched by a clean glove?,Touched by a utensil?,Touched by a thermometer?,1,,,,,,,,
50,3-302.11,Where must chemicals be stored in a food service facility?,On the top shelf above dry goods,In a designated area away from all food and food-contact equipment,Next to cleaning equipment for easy access,Under the prep table when not in use,2,Cross-Contamination,Chemical Safety,Chemicals must be stored away from all food and food-contact equipment to prevent accidental chemical contamination of food.,0,2,English,US,SafePrep,D,0,1,What is the safest way to handle bread for customers at a buffet?,Salad?,Hot food?,Desserts?,1,,,,,,,,
51,3-302.11,What should be done if chemicals are found stored near food?,Leave them if the containers are sealed,Store them on the top shelf of the dry goods area,Move them immediately to a designated storage area away from food,Place them under the prep table out of the way,3,Cross-Contamination,Chemical Safety,"Chemicals stored near food pose a contamination risk even when sealed, due to spills, leaks, or misidentification. They must always be stored in a separate designated area.",0,2,English,US,SafePrep,D,0,1,What must be done before handling RTE food after touching raw meat?,Before handling raw meat?,Before handling produce?,Before clocking out?,1,,,,,,,,
52,2-301.12,How long should hands be scrubbed during handwashing?,30 to 60 seconds,20 to 30 seconds,10 to 15 seconds,5 to 8 seconds,3,Personal Hygiene,Handwashing,Scrubbing for 10 to 15 seconds with soap creates enough friction to remove pathogens and soil from hands and between fingers.,0,2,English,US,SafePrep,D,0,1,What is the safest way to serve customers shared condiments?,Shared utensils?,Shared napkins?,Shared menus?,1,,,,,,,,
53,2-301.14,When must food handlers wash their hands?,Only after using the restroom,After each individual task during a shift,"After using the restroom, touching raw meat, and before putting on gloves",Only when moving between raw and cooked food areas,3,Personal Hygiene,Handwashing,"Handwashing is required after restroom use, before gloving, and after touching raw meat. All three are mandatory hand hygiene moments.",0,2,English,US,SafePrep,D,0,1,What is the proper procedure for setting up a buffet to prevent cross-contamination?,For setting up a salad bar?,For setting up dessert station?,For setting up beverage station?,1,,,,,,,,
54,2-301.12,Which action requires a food handler to wash their hands?,Handling soiled equipment,Standing near the prep area,Talking to a coworker,Walking through the dining room,1,Personal Hygiene,Handwashing,"Handling soiled equipment introduces pathogens to the hands, requiring immediate handwashing before returning to food preparation.",0,2,English,US,SafePrep,D,0,1,How long should hands be scrubbed during handwashing?,How long must water run?,How long must soap stay on?,How long must hands air dry?,1,,,,,,,,
55,2-301.12,Which action requires handwashing?,Touching a prep table,Talking to a coworker who's wearing a mask,Handling raw poultry,Walking through the dining room,3,Personal Hygiene,Handwashing,"Handling raw poultry introduces pathogens to the hands, requiring immediate handwashing before touching any other surface or food.",0,1,English,US,SafePrep,D,0,1,When must food handlers wash their hands?,When must they put on gloves?,When must they change uniforms?,When must they take breaks?,1,,,,,,,,
56,2-301.13,What is the minimum water temperature required for handwashing?,At least 80°F,At least 100°F,At least 90°F,At least 120°F,2,Personal Hygiene,Handwashing,Water must be at least 100°F to effectively remove oils and pathogens from skin during proper handwashing.,0,2,English,US,SafePrep,D,0,1,Which action requires a food handler to wash their hands?,Which action requires changing gloves only?,Which action requires changing uniform?,Which action requires a break?,1,,,,,,,,
57,2-301.13,What is the correct sequence for handwashing?,Wet hands > Scrub without soap > Apply soap > Rinse > Dry,Rinse > Apply soap > Scrub > Wet hands > Dry,Apply soap > Scrub > Wet hands > Rinse > Dry,Wet hands > Apply soap > Scrub 10-15 seconds > Rinse > Dry,4,Personal Hygiene,Handwashing,"The correct handwashing sequence is: wet hands, apply soap, scrub for 10 to 15 seconds, rinse thoroughly, and dry with a single-use towel or air dryer.",0,2,English,US,SafePrep,D,0,1,What is the minimum water temperature for handwashing?,For warewashing rinse?,For sanitizing?,For thawing?,1,,,,,,,,
58,2-301.15,When is it acceptable to use a hand antiseptic?,As a replacement for handwashing before putting on gloves,As a supplement after completing proper handwashing,When handwashing sinks are occupied,When hands are not visibly soiled,2,Personal Hygiene,Handwashing,"Hand antiseptic may only be used after proper handwashing. It is a supplement, not a replacement, and does not remove soil or organic matter.",0,2,English,US,SafePrep,D,0,1,Which items must be available at every handwashing station?,At every prep station?,At every cooking station?,At every serving station?,1,,,,,,,,
